treatment_key,year,location,test_id,experiment_name,watered,planting_date,digging_date,test_entry,variety_key,variety,treatment,block,plot_number,plot_weight,total_seed_weight,total_seed_count,calc_seed_weight_200,seed_weight_200,seed_weight_100,seed_per_pound,peanut_yield,moisture,tsmk,ok,dk,elk,fancy,maturity_code,maturity,market_type,plot_harvest_length,plot_harvest_width,plots_per_acre,plot_row_number,plot_column_number,notes,plots
Baileyø507PN15-102,2015,Midville,507PN,507PN15,TRUE,,9/22/2015,110,,Bailey,,1,102,11.57111111,,,-9,,,-9,4200,7,,,,,,4,M-,Virginia,20,6,363,,,,
GA 163103ø508PN21-616,2021,Midville,508PN,508PN21,FALSE,,10/15/2021,,,GA 163103,,6,616,11.57,,,-9,,76,596.8320658,4200,,77,2,0,0,,5,M,Runner,20,6,363,,,,
GA 163103ø508PN21-616,2021,Midville,508PN,508PN21,FALSE,,10/15/2021,,,GA 163103,,6,616,11.57,,,-9,,78,581.5286795,4200,,,,,,,5,M,Runner,20,6,363,,,,
Georgia-16HOø508PN21-224,2021,Midville,508PN,508PN21,FALSE,,10/15/2021,,,Georgia-16HO,,2,224,11.57,,,-9,,,-9,4200,,,,,,,5,M,Runner,20,6,363,,,,
TifNV-High O/Lø508PN21-212,2021,Midville,508PN,508PN21,FALSE,,10/15/2021,,,TifNV-High O/L,,2,212,11.57,,,-9,,,-9,4200,,,,,,,5,M,Runner,20,6,363,,,,
GA 092709ø707PN15-114,2015,Plains,707PN,707PN15,TRUE,,10/29/2015,232,,GA 092709,,1,114,11.57333333,,,-9,,,-9,4201,7,,,,,,6,M+,Virginia,20,6,363,,,,
GA 122544ø707PN15-502,2015,Plains,707PN,707PN15,TRUE,,10/29/2015,245,,GA 122544,,5,502,11.57333333,,,-9,,,-9,4201,7,,,,,,6,M+,Runner,20,6,363,,,,
GA 132713ø508PN16-506,2016,Midville,508PN,508PN16,FALSE,,10/6/2016,248,,GA 132713,,5,506,11.57333333,,,-9,,,-9,4201,7,,,,,,5,M,Runner,20,6,363,,,,
GA 132724ø508PN16-529,2016,Midville,508PN,508PN16,FALSE,,10/6/2016,249,,GA 132724,,5,529,11.57333333,,,-9,,,-9,4201,7,,,,,,5,M,Virginia,20,6,363,,,,
Tifguardø508PN16-326,2016,Midville,508PN,508PN16,FALSE,,10/6/2016,83,,Tifguard,,3,326,11.57333333,,,-9,,,-9,4201,7,,,,,,5,M,Runner,20,6,363,,,,
Arnieø707PN25-121,2025,Plains,707PN,707PN25,TRUE,5/22/2025,10/22/2025,128,1005,Arnie,,1,121,11.57541899,-9,-9,-9,-9,,-9,4202,,-9,-9,-9,-9,-9,5,M,Runner,20,6,363,2,21,,
Arnieø707PN25-229,2025,Plains,707PN,707PN25,TRUE,5/22/2025,10/22/2025,128,1005,Arnie,,2,229,11.57541899,-9,-9,-9,-9,,-9,4202,,-9,-9,-9,-9,-9,5,M,Runner,20,6,363,6,18,,
Georgia-07Wø508PN16-108,2016,Midville,508PN,508PN16,FALSE,,10/17/2016,96,,Georgia-07W,,1,108,11.57733333,,,-9,,,-9,4203,7,,,,,,6,M+,Runner,20,6,363,,,,
Georgia-07Wø707PN17-629,2017,Plains,707PN,707PN17,TRUE,,10/25/2017,96,,Georgia-07W,,6,629,11.58,,,-9,,,-9,4204,10,,,,,,6,M+,Runner,20,6,363,,,,
FloRunTM '107'ø708PN17-117,2017,Plains,708PN,708PN17,FALSE,,10/10/2017,114,,FloRunTM '107',,1,117,11.59,,,-9,,,-9,4207,10,,,,,,5,M,Runner,20,6,363,,,,
FloRunTM '107'ø608PN16-418,2016,Tifton,608PN,608PN16,FALSE,,9/30/2016,114,,FloRunTM '107',,4,418,11.59,,,-9,,,-9,4207,7,,,,,,5,M,Runner,20,6,363,,,,
GA 122706ø607PN16-523,2016,Tifton,607PN,607PN16,TRUE,,9/30/2016,252,,GA 122706,,5,523,11.59,,,-9,,,-9,4207,7,,,,,,6,M+,Runner,20,6,363,,,,
GA 132712ø508PN17-627,2017,Midville,508PN,508PN17,FALSE,,10/10/2017,259,,GA 132712,,6,627,11.59,,,-9,,,-9,4207,10,,,,,,6,M+,Runner,20,6,363,,,,
